dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
947.0, 23.0, 15.0, 932.0, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 839.3146013265824,2,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 746.3618425401985,1,0,1
819.0, 151.0, 206.0, 741.0, 127.94530081249565, 621.3276108463232,2,0,1
755.0, 215.0, 78.0, 869.0, 135.91173606425605, 656.5851049178622,0,0,1
851.0, 119.0, 15.0, 932.0, 110.11357772772621, 768.6253964058175,3,0,1
915.0, 55.0, 142.0, 805.0, 71.11258679024411, 736.6953237261656,2,0,1
915.0, 55.0, 206.0, 741.0, 111.30588483993108, 702.5439488032048,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 654.8320395338029,1,0,1
851.0, 119.0, 78.0, 869.0, 79.30952023559341, 544.0,2,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 863.0,3,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 704.0,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 130.96946208945045,3,0,1
947.0, 23.0, 110.0, 837.0, 63.0, -1,3,0,1
947.0, 23.0, 238.0, 709.0, 127.0, 101.19288512538814,1,0,1
851.0, 119.0, 302.0, 645.0, 148.00337833982033, 172.32527382830412,3,0,1
819.0, 151.0, 366.0, 581.0, 185.0756602041446, 243.70473938764508,2,0,1
819.0, 151.0, 526.0, 421.0, 272.2498852157701, 395.8181400592954,0,0,1
915.0, 55.0, 558.0, 389.0, 247.94555854057964, 416.0,2,0,1
962.0, 8.0, 543.0, 404.0, 223.93302570188257, 403.74496900890296,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 895.7505233043406,1,0,1
883.0, 87.0, 46.0, 901.0, 53.9351462406472, 834.4579078659391,3,0,1
851.0, 119.0, 142.0, 805.0, 96.17692030835673, 736.6953237261656,1,0,1
755.0, 215.0, 174.0, 773.0, 137.3062270984095, 658.920329023168,1,0,1
627.0, 343.0, 174.0, 773.0, 206.0412580043133, 607.1573107523288,2,0,1
563.0, 407.0, 78.0, 869.0, 206.65188119153427, 684.0818664458224,3,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,2,0,1
947.0, 23.0, 206.0, 741.0, 111.0, -1,2,0,1
947.0, 23.0, 398.0, 549.0, 192.0, -1,3,0,1
947.0, 23.0, 558.0, 389.0, 192.0, -1,0,0,1
970.0, 0.0, 0.0, 947.0, 494.53513525330027, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 729.0987587426,1,0,1
851.0, 119.0, 46.0, 901.0, 72.44308110509934, 635.1818637209346,2,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 416.23190651366457,2,0,1
